SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Sanitation Property,Lower Herring Run Park,1,1,,3,2,,1
HCD-Sanitation Property,Loyola/Notre Dame,2,1,,,1,1,
HCD-Sanitation Property,Lucille Park,122,49,76,59,39,49,40
HCD-Sanitation Property,MADISON AVE,,,,,,,1
HCD-Sanitation Property,Madison Park,71,48,58,55,39,81,82
HCD-Sanitation Property,Madison-Eastend,197,208,172,157,167,152,180
HCD-Sanitation Property,MARY AVE,,,,,,,1
HCD-Sanitation Property,Mayfield,44,25,12,13,8,16,19
HCD-Sanitation Property,McElderry Park,547,379,260,311,312,287,331
HCD-Sanitation Property,Medfield,66,90,26,45,64,105,82
HCD-Sanitation Property,Medford,65,62,47,40,65,27,44
HCD-Sanitation Property,Middle Branch/Reedbird Parks,5,8,1,5,3,3,4
HCD-Sanitation Property,Middle East,123,138,93,120,110,286,193
HCD-Sanitation Property,Mid-Govans,87,119,135,87,112,129,111
HCD-Sanitation Property,Mid-Town Belvedere,116,102,96,127,222,245,203
HCD-Sanitation Property,Midtown-Edmondson,490,413,274,198,284,391,351
HCD-Sanitation Property,Millhill,262,237,216,224,297,366,485
HCD-Sanitation Property,Milton-Montford,431,182,170,106,88,109,107
HCD-Sanitation Property,Mondawmin,342,343,264,237,271,318,325
HCD-Sanitation Property,Montebello,5,12,4,1,7,3,1
HCD-Sanitation Property,Moravia-Walther,66,48,20,35,26,51,66
HCD-Sanitation Property,MORELAND AVE,,,,,,,1
HCD-Sanitation Property,Morgan Park,2,8,5,2,6,7,4
HCD-Sanitation Property,Morgan State University,,8,2,1,4,,1
HCD-Sanitation Property,Morrell Park,584,610,591,475,504,432,467
HCD-Sanitation Property,Mosher,304,274,240,138,274,347,322
HCD-Sanitation Property,Mount Clare,,,,,,,163
HCD-Sanitation Property,Mount Holly,150,188,111,118,108,127,96
HCD-Sanitation Property,Mount Vernon,116,153,89,76,137,229,308
HCD-Sanitation Property,Mount Washington,50,56,33,34,26,25,39
HCD-Sanitation Property,Mount Winans,87,141,103,92,63,66,57
HCD-Sanitation Property,Mt Pleasant Park,,5,3,2,,2,1
HCD-Sanitation Property,N ELLAMONT ST,,,,,,,1
HCD-Sanitation Property,N FULTON AVE,,,,,,,1
HCD-Sanitation Property,N MONROE ST,,,,,,,1
HCD-Sanitation Property,N MORLEY ST,,,,,,,1
HCD-Sanitation Property,N ROGERS AVE,,,,,,,1
HCD-Sanitation Property,New Northwood,151,155,111,84,124,88,141
HCD-Sanitation Property,New Southwest/Mount Clare,621,464,312,373,392,377,235
