SW-Dirty Alley,Boyd-Booth,2,14,10,3,7,6,2,3,3,5,12,9,2,6,5,3,6,7,9,1,6,6,5,4,7,5,4,6,4,5,4,5,2,3,3,4,4,3,6,,3,9,6,6,1,10,3,4,,2,8,3,4,2,3,2,3,4,1,3,3,2,2,3,1,2,4,2,4,3,2,6,3,5,6,11,7,3,1,1,1,6,2,4
SW-Dirty Alley,Brewers Hill,2,6,7,2,7,9,3,5,2,2,2,3,2,3,13,,1,6,11,5,1,2,2,8,2,3,5,2,7,3,7,6,2,5,1,6,5,3,2,7,1,3,3,4,3,1,2,1,1,2,7,5,1,6,8,9,7,,4,3,4,2,4,1,3,1,9,5,5,7,4,5,4,7,8,7,8,4,12,8,3,4,,2
SW-Dirty Alley,Bridgeview/Greenlawn,12,1,6,10,6,10,9,6,8,3,,12,4,5,6,7,6,8,8,7,4,9,6,7,13,5,6,10,11,9,7,3,13,4,5,5,6,5,6,7,6,8,6,5,8,6,7,4,3,1,7,7,6,6,10,4,2,1,2,2,1,5,6,4,7,7,11,5,10,4,2,5,10,6,9,6,8,2,12,6,10,7,7,9
SW-Dirty Alley,BRIGHTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,Broadway East,66,68,58,78,69,88,76,69,86,57,74,57,55,65,61,78,49,63,66,65,41,43,42,39,39,34,55,68,41,41,36,57,45,45,36,49,44,35,27,16,30,46,64,60,72,75,39,44,49,70,100,54,58,48,50,55,49,42,43,29,26,25,75,80,46,36,46,66,54,58,33,37,42,39,75,41,32,26,46,36,35,42,35,46
SW-Dirty Alley,Broening Manor,3,5,2,5,2,2,5,3,5,6,2,4,2,4,,4,4,6,,,2,2,1,5,2,4,3,6,5,6,4,7,7,2,5,10,12,1,8,2,4,3,1,7,6,5,2,3,4,2,10,9,13,9,6,6,7,9,2,2,3,6,6,6,3,3,1,2,3,,4,2,4,1,4,5,3,2,3,3,1,2,5,1
SW-Dirty Alley,Brooklyn,76,50,44,43,51,44,58,74,47,40,36,63,42,53,75,82,67,86,95,52,59,51,45,79,100,109,61,94,34,64,109,72,94,46,46,43,52,66,30,27,41,46,62,62,65,32,24,31,32,10,53,50,43,56,44,51,32,34,44,49,72,52,62,34,51,72,77,110,112,123,105,40,77,52,58,48,72,39,50,60,103,63,51,77
SW-Dirty Alley,Burleith-Leighton,1,3,,,,3,,4,2,1,2,2,2,,5,1,,3,3,4,2,2,1,3,3,4,2,3,1,3,2,2,1,4,3,5,3,1,2,,,3,,2,1,3,1,,,1,2,1,3,1,3,2,2,3,1,2,,,1,1,,2,1,3,3,3,2,2,6,1,2,,1,2,,,,,,
SW-Dirty Alley,Butchers Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,,1
SW-Dirty Alley,Butcher's Hill,3,1,5,3,3,4,2,,4,1,3,2,2,,2,5,4,2,2,5,2,3,2,1,3,,2,4,3,6,5,1,4,1,3,,2,,2,2,1,,1,2,1,,1,,1,1,,1,2,2,3,4,3,4,,1,,1,,6,,2,3,6,2,,1,1,1,3,2,3,,2,,,,,,
