SR Type,Neighborhood,012017,022017,032017,042017,052017,062017,072017,082017,092017,102017,112017,122017,012018,022018,032018,042018,052018,062018,072018,082018,092018,102018,112018,122018,012019,022019,032019,042019,052019,062019,072019,082019,092019,102019,112019,122019,012020,022020,032020,042020,052020,062020,072020,082020,092020,102020,112020,122020,012021,022021,032021,042021,052021,062021,072021,082021,092021,102021,112021,122021,012022,022022,032022,042022,052022,062022,072022,082022,092022,102022,112022,122022,012023,022023,032023,042023,052023,062023,072023,082023,092023,102023,112023,122023
RP-Street Lighting Repairs,Canton,,2,,,,,,,1,1,,2,,,,,,,,,,3,,2,,2,,,,,,1,1,,,2,1,,1,,1,,,1,,1,1,,,1,1,2,,,,,1,2,2,,2,1,,1,2,,,3,3,1,8,4,2,3,1,2,,4,,1,1,2,21,5
RP-Street Lighting Repairs,Canton Industrial Area,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,
RP-Street Lighting Repairs,CARE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Carroll - Camden Industrial Area,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Carroll Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,1,,,2,,,,,,,,,,,,,1,,,,,,,3,1,1,,,,,,,,1,,,,,,,,,,1,,,,1
RP-Street Lighting Repairs,Carroll-South Hilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
RP-Street Lighting Repairs,Carrollton Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
RP-Street Lighting Repairs,Cedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Central Park Heights,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Charles North,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Charles Village,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,3,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,1,,,,1
RP-Street Lighting Repairs,Cheswolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Chinquapin Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
RP-Street Lighting Repairs,Citywide,6,6,5,5,0,10,2,11,9,15,7,12,13,7,6,9,8,8,6,25,19,34,22,32,45,16,11,7,5,8,7,18,23,25,12,9,20,12,5,7,14,14,14,12,15,8,8,9,10,3,7,15,17,11,5,13,16,22,25,37,16,18,9,12,16,13,16,30,25,33,40,16,26,30,37,17,19,30,22,25,27,28,54,31
RP-Street Lighting Repairs,Clifton Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,1,1,,2,,1,,2,1,1,,,1,1,,1,
