SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Illegal Dumping,Mid-Town Belvedere,15,36,57,67,78,55,85
HCD-Illegal Dumping,Midtown-Edmondson,43,51,85,42,60,82,119
HCD-Illegal Dumping,Millhill,29,36,65,38,51,70,126
HCD-Illegal Dumping,Milton-Montford,30,22,37,78,77,85,88
HCD-Illegal Dumping,Mondawmin,42,55,77,76,96,61,98
HCD-Illegal Dumping,Montebello,1,1,,5,9,12,9
HCD-Illegal Dumping,Moravia-Walther,1,2,5,11,12,11,9
HCD-Illegal Dumping,Morgan Park,,1,1,,2,1,1
HCD-Illegal Dumping,Morgan State University,,3,2,4,5,10,6
HCD-Illegal Dumping,Morrell Park,28,73,139,88,109,176,139
HCD-Illegal Dumping,Mosher,23,41,72,38,79,65,81
HCD-Illegal Dumping,Mount Clare,,,,,,,82
HCD-Illegal Dumping,Mount Holly,9,18,50,47,40,29,36
HCD-Illegal Dumping,Mount Vernon,39,41,71,70,91,100,155
HCD-Illegal Dumping,Mount Washington,6,10,23,35,24,17,27
HCD-Illegal Dumping,Mount Winans,11,10,23,29,10,14,18
HCD-Illegal Dumping,Mt Pleasant Park,,2,14,47,24,11,6
HCD-Illegal Dumping,N BROADWAY,,,,,,,1
HCD-Illegal Dumping,N CAROLINE ST,,,,,,,1
HCD-Illegal Dumping,N DALLAS ST,,,,,,,2
HCD-Illegal Dumping,N DUKELAND-ASHBURTON,,,,,,,1
HCD-Illegal Dumping,N EDGEWOOD ST,,,,,,,1
HCD-Illegal Dumping,N FULTON AVE,,,,,,,1
HCD-Illegal Dumping,N LONGWOOD ST,,,,,,,1
HCD-Illegal Dumping,N PARRISH ST,,,,,,,1
HCD-Illegal Dumping,N STREEPER ST,,,,,,,1
HCD-Illegal Dumping,N WOODYEAR ST,,,,,,,1
HCD-Illegal Dumping,NANTICOKE ST,,,,,,,1
HCD-Illegal Dumping,New Northwood,12,17,21,31,40,58,54
HCD-Illegal Dumping,New Southwest/Mount Clare,122,88,112,110,129,110,80
HCD-Illegal Dumping,NORMAL AVE,,,,,,,2
HCD-Illegal Dumping,North Harford Road,6,14,24,17,26,25,21
HCD-Illegal Dumping,North Roland Park/Poplar Hill,1,,2,3,2,4,4
HCD-Illegal Dumping,Northwest Community Action,27,51,71,83,96,95,124
HCD-Illegal Dumping,Oakenshawe,6,4,17,20,21,13,20
HCD-Illegal Dumping,Oaklee,,1,,1,8,12,13
HCD-Illegal Dumping,O'Donnell Heights,,3,3,6,10,9,25
HCD-Illegal Dumping,Old Goucher,15,14,12,28,27,31,64
HCD-Illegal Dumping,Oldtown,15,18,24,30,24,88,158
HCD-Illegal Dumping,Oliver,76,105,161,158,279,315,381
HCD-Illegal Dumping,Orangeville,9,6,17,12,18,102,193
HCD-Illegal Dumping,Orangeville Industrial Area,4,3,1,4,5,15,72
HCD-Illegal Dumping,Orchard Ridge,1,5,4,5,10,16,29
HCD-Illegal Dumping,Original Northwood,2,4,21,12,16,19,12
HCD-Illegal Dumping,Otterbein,4,2,10,4,9,18,3
HCD-Illegal Dumping,Overlea,1,1,1,4,4,4,2
HCD-Illegal Dumping,Panway/Braddish Avenue,8,17,31,23,31,20,37
HCD-Illegal Dumping,Park Circle,40,86,93,83,76,121,207
